epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,7147.63,0.69555,0.45852,0.95544,0.82099,0.71429,0.82329,0.62552,0.82271,1.22511,0.88272,0.0013664,0.0013664,0.0013664
98,7193.47,0.67958,0.41067,0.91702,0.8193,0.71429,0.7639,0.55663,0.98586,1.494,0.90814,0.0013598,0.0013598,0.0013598
99,7233.97,0.72753,0.4487,0.91869,0.8559,0.84967,0.84661,0.6526,0.97498,1.47412,0.9085,0.0013532,0.0013532,0.0013532
100,7269.79,0.72578,0.43449,0.92621,0.84861,0.85714,0.8448,0.66068,1.05866,1.29378,0.96972,0.0013466,0.0013466,0.0013466
101,7305.46,0.67342,0.42455,0.90669,0.99771,0.85714,0.86661,0.65369,0.93874,1.21383,0.94234,0.00134,0.00134,0.00134
102,7341.49,0.74162,0.43054,0.95614,1,0.85499,0.87505,0.68545,1.1251,1.49402,1.04345,0.0013334,0.0013334,0.0013334
103,7377.12,0.6631,0.42646,0.92178,0.99358,0.85714,0.87505,0.66745,1.10189,1.34955,1.01281,0.0013268,0.0013268,0.0013268
104,7414.03,0.68053,0.44194,0.9092,0.99191,0.85714,0.87196,0.6737,1.20081,1.48292,1.09368,0.0013202,0.0013202,0.0013202
105,7450.45,0.71818,0.4369,0.94645,0.99145,0.85714,0.87196,0.65842,1.14377,1.33067,1.04911,0.0013136,0.0013136,0.0013136
106,7487.05,0.66684,0.41554,0.92036,1,0.85351,0.87264,0.69514,1.13615,1.63233,1.08828,0.001307,0.001307,0.001307
107,7523.53,0.66955,0.4412,0.92054,0.99004,0.71429,0.79661,0.61633,1.09935,2.00717,1.07219,0.0013004,0.0013004,0.0013004
108,7559.68,0.67135,0.42998,0.9366,0.98788,0.71429,0.8116,0.65013,1.07792,1.922,1.04661,0.0012938,0.0012938,0.0012938
109,7595.3,0.69635,0.43202,0.94775,0.98835,0.71429,0.76575,0.57521,1.15352,2.26229,1.05691,0.0012872,0.0012872,0.0012872
110,7630.76,0.66309,0.4179,0.90058,0.98614,0.71429,0.75447,0.56458,1.09029,2.71332,1.03964,0.0012806,0.0012806,0.0012806
111,7665.53,0.68649,0.42925,0.92735,0.98946,0.71429,0.73079,0.60727,1.1154,2.82479,1.18164,0.001274,0.001274,0.001274
112,7704,0.66801,0.43082,0.93042,0.98914,0.71429,0.73012,0.55994,1.23528,2.56232,1.20606,0.0012674,0.0012674,0.0012674
113,7739.59,0.70573,0.42707,0.93769,0.98935,0.71429,0.83969,0.64393,1.30898,1.98775,1.20652,0.0012608,0.0012608,0.0012608
114,7775.46,0.63969,0.40575,0.90342,1,0.85418,0.85706,0.66033,1.0586,1.4038,1.04682,0.0012542,0.0012542,0.0012542
115,7810.63,0.70715,0.43738,0.90943,1,0.85391,0.85702,0.6629,1.05716,1.44483,1.1013,0.0012476,0.0012476,0.0012476
116,7846.11,0.65124,0.41254,0.90826,1,0.85657,0.86502,0.65689,1.08613,1.34185,1.06859,0.001241,0.001241,0.001241
117,7880.82,0.674,0.41349,0.91743,1,0.85709,0.87133,0.67585,0.97225,1.4161,1.03087,0.0012344,0.0012344,0.0012344
118,7916.61,0.66125,0.41502,0.91243,0.95735,0.71429,0.78478,0.62919,1.05195,2.30864,1.05395,0.0012278,0.0012278,0.0012278
119,7953.55,0.66569,0.42139,0.92606,0.94043,0.71429,0.8217,0.67262,0.99915,1.76975,1.03256,0.0012212,0.0012212,0.0012212
120,7991.13,0.67616,0.42374,0.91954,1,0.85212,0.8795,0.72674,1.02493,1.44467,0.99482,0.0012146,0.0012146,0.0012146
121,8026.63,0.74184,0.45686,0.95602,1,0.84924,0.88094,0.68583,1.11215,2.0748,1.0536,0.001208,0.001208,0.001208
122,8061.82,0.69171,0.41812,0.92056,1,0.84887,0.8991,0.68923,1.24892,2.25858,1.11084,0.0012014,0.0012014,0.0012014
123,8096.81,0.63413,0.3997,0.91772,0.85224,0.8277,0.8791,0.67323,0.91607,1.96015,0.96412,0.0011948,0.0011948,0.0011948
124,8133.03,0.63487,0.38877,0.90327,0.85589,0.8496,0.85821,0.6642,0.99795,1.70094,1.00544,0.0011882,0.0011882,0.0011882
125,8168.71,0.67001,0.41305,0.93176,1,0.84858,0.87075,0.67739,1.10631,1.87271,1.07891,0.0011816,0.0011816,0.0011816
126,8204.87,0.67093,0.40474,0.92731,1,0.8486,0.87338,0.67577,1.05262,1.79824,1.04784,0.001175,0.001175,0.001175
127,8239.87,0.63178,0.38815,0.89783,1,0.84937,0.86923,0.71167,0.9664,1.48391,0.99716,0.0011684,0.0011684,0.0011684
128,8282.22,0.63392,0.39568,0.91307,1,0.85006,0.87196,0.72111,1.12801,1.88517,1.04125,0.0011618,0.0011618,0.0011618
129,8319.12,0.63987,0.37994,0.89876,0.94118,0.71429,0.74883,0.64026,0.95113,2.6733,1.00409,0.0011552,0.0011552,0.0011552
130,8356.44,0.65775,0.38794,0.90009,0.74728,0.84627,0.71779,0.6083,1.01162,2.26616,1.02881,0.0011486,0.0011486,0.0011486
131,8394.18,0.6146,0.39333,0.88962,0.91492,0.71429,0.83917,0.68003,0.74836,1.18875,0.89798,0.001142,0.001142,0.001142
132,8430.48,0.7228,0.42491,0.90863,0.85507,0.85714,0.85196,0.65627,0.99071,1.45737,0.97262,0.0011354,0.0011354,0.0011354
133,8466.73,0.6937,0.41241,0.91808,0.98929,0.71429,0.856,0.66167,1.15348,1.98032,1.09058,0.0011288,0.0011288,0.0011288
134,8503.17,0.67131,0.41595,0.93311,1,0.85316,0.87196,0.68059,1.06681,1.67304,1.06368,0.0011222,0.0011222,0.0011222
135,8538.91,0.6571,0.39449,0.9096,1,0.8497,0.8676,0.67543,0.98222,1.80245,1.01413,0.0011156,0.0011156,0.0011156
136,8575.46,0.62442,0.4169,0.92393,0.99044,0.71429,0.75447,0.58833,1.3975,2.55072,1.18457,0.001109,0.001109,0.001109
137,8611.47,0.62105,0.40171,0.89801,1,0.84898,0.89509,0.73141,1.19843,2.21166,1.0574,0.0011024,0.0011024,0.0011024
138,8647.31,0.62895,0.40543,0.90683,1,0.84913,0.8844,0.73146,1.17894,1.9998,1.06254,0.0010958,0.0010958,0.0010958
139,8681.79,0.62791,0.3942,0.89699,0.84202,0.85714,0.85337,0.70453,1.04636,1.41545,0.9792,0.0010892,0.0010892,0.0010892
140,8716.85,0.66196,0.39749,0.94624,0.82875,0.85714,0.86094,0.64159,1.40336,1.67288,1.14055,0.0010826,0.0010826,0.0010826
141,8752.6,0.60486,0.38867,0.89345,1,0.85046,0.88256,0.72192,1.26508,1.61414,1.06921,0.001076,0.001076,0.001076
142,8788.71,0.60971,0.37576,0.88682,1,0.84975,0.88892,0.73292,1.04598,1.52815,0.96499,0.0010694,0.0010694,0.0010694
143,8824.87,0.63477,0.39815,0.91554,1,0.84953,0.89175,0.70161,1.00566,1.5588,0.94735,0.0010628,0.0010628,0.0010628
144,8860.37,0.62463,0.39114,0.92331,1,0.85052,0.88094,0.69171,1.13076,1.56421,1.01436,0.0010562,0.0010562,0.0010562
145,8896.69,0.60638,0.38129,0.90386,1,0.84997,0.8844,0.71044,1.08521,1.59014,1.01134,0.0010496,0.0010496,0.0010496
146,8932.26,0.59062,0.37463,0.88005,0.99019,0.71429,0.85417,0.69253,1.06316,1.92068,1.02446,0.001043,0.001043,0.001043
147,8967.87,0.65512,0.39468,0.91669,0.99017,0.71429,0.82933,0.65934,1.04474,2.16855,1.02487,0.0010364,0.0010364,0.0010364
148,9003.78,0.65954,0.40643,0.91679,0.98014,0.71429,0.84205,0.69252,0.91261,2.03188,0.93589,0.0010298,0.0010298,0.0010298
149,9039.18,0.58486,0.38151,0.87139,0.77686,0.71429,0.69057,0.53944,0.9316,2.2154,0.90364,0.0010232,0.0010232,0.0010232
150,9075.22,0.63484,0.3777,0.90702,0.80624,0.71429,0.68421,0.5129,1.03077,2.05307,0.9196,0.0010166,0.0010166,0.0010166
151,9110.6,0.58174,0.35159,0.8884,0.80332,0.71429,0.81141,0.63132,1.13089,2.64574,1.02304,0.00101,0.00101,0.00101
152,9146.61,0.59239,0.36714,0.87069,0.98799,0.71429,0.80094,0.65636,1.04636,2.61338,0.97834,0.0010034,0.0010034,0.0010034
153,9182.27,0.59628,0.35311,0.89025,0.99033,0.71429,0.77959,0.61728,1.04399,2.67288,0.98274,0.0009968,0.0009968,0.0009968
154,9218.2,0.56862,0.36236,0.88544,0.98793,0.71429,0.75941,0.56333,0.93806,2.61014,0.94785,0.0009902,0.0009902,0.0009902
155,9252.43,0.60965,0.36985,0.86807,0.82488,0.71429,0.63136,0.46811,0.87131,2.99123,0.96257,0.0009836,0.0009836,0.0009836
156,9288.59,0.65802,0.40739,0.9449,0.81411,0.71429,0.63323,0.4993,0.91049,2.97658,0.96357,0.000977,0.000977,0.000977
157,9325.09,0.61529,0.39073,0.90892,0.8268,0.71429,0.75052,0.6154,0.92476,2.88023,0.96959,0.0009704,0.0009704,0.0009704
158,9360.97,0.5766,0.35834,0.90521,0.94667,0.71429,0.7446,0.56472,1.16028,3.03915,1.08894,0.0009638,0.0009638,0.0009638
159,9397.24,0.56825,0.35865,0.89435,0.82977,0.71429,0.74038,0.55322,1.22062,3.10263,1.0939,0.0009572,0.0009572,0.0009572
160,9431.97,0.57781,0.37347,0.88433,0.82298,0.71429,0.77221,0.56961,1.06225,2.31153,0.997,0.0009506,0.0009506,0.0009506
161,9467.46,0.59187,0.3599,0.89575,0.82377,0.71429,0.64756,0.49061,0.88701,2.52559,0.99904,0.000944,0.000944,0.000944
162,9503.66,0.5692,0.35651,0.8906,0.82497,0.71429,0.71411,0.55974,0.95798,2.73791,1.03868,0.0009374,0.0009374,0.0009374
163,9539.87,0.61789,0.36452,0.89735,0.82551,0.71429,0.73474,0.56846,1.08932,2.68201,1.02162,0.0009308,0.0009308,0.0009308
164,9575.72,0.6286,0.36911,0.90001,0.96325,0.71429,0.7353,0.6145,1.13279,2.67815,1.0229,0.0009242,0.0009242,0.0009242
165,9611,0.60305,0.36821,0.90573,0.98762,0.71429,0.82256,0.66669,1.11797,2.40492,1.00778,0.0009176,0.0009176,0.0009176
166,9647.31,0.59534,0.3524,0.87356,0.99036,0.71429,0.83838,0.65758,1.12525,2.48741,1.0244,0.000911,0.000911,0.000911
167,9683.64,0.60464,0.36446,0.8845,0.99017,0.71429,0.85133,0.66826,1.22958,2.46947,1.06847,0.0009044,0.0009044,0.0009044
168,9719.93,0.59768,0.35683,0.88837,1,0.84886,0.8697,0.69693,1.25102,2.39719,1.11895,0.0008978,0.0008978,0.0008978
169,9756.02,0.61724,0.36178,0.92602,1,0.84944,0.86797,0.6716,1.29863,2.21575,1.12193,0.0008912,0.0008912,0.0008912
170,9791.6,0.57876,0.37078,0.87859,1,0.84778,0.8676,0.65961,1.33773,2.06812,1.12387,0.0008846,0.0008846,0.0008846
171,9827.02,0.66867,0.394,0.90657,0.97125,0.71429,0.83423,0.62911,1.22126,1.99508,1.08356,0.000878,0.000878,0.000878
172,9863.01,0.61036,0.38019,0.90666,0.94342,0.71429,0.83633,0.62516,1.13977,1.98898,1.03698,0.0008714,0.0008714,0.0008714
173,9897.25,0.6275,0.36412,0.88987,0.83719,0.85714,0.84661,0.65934,0.95009,1.65585,0.95451,0.0008648,0.0008648,0.0008648
174,9933.59,0.5845,0.35984,0.88581,1,0.85687,0.86576,0.67324,0.8556,1.43464,0.90871,0.0008582,0.0008582,0.0008582
175,9969.71,0.57237,0.35572,0.88356,0.99263,0.85714,0.86603,0.66191,0.88498,1.13343,0.90437,0.0008516,0.0008516,0.0008516
176,10005.2,0.56876,0.3633,0.88629,0.9934,0.85714,0.87264,0.69266,0.91854,1.38886,0.93035,0.000845,0.000845,0.000845
177,10040.9,0.57156,0.35474,0.89877,0.9934,0.85714,0.87417,0.66653,0.92087,1.22658,0.88953,0.0008384,0.0008384,0.0008384
178,10077.1,0.6195,0.36968,0.92199,0.99665,0.85714,0.8697,0.65619,0.95147,1.16877,0.8833,0.0008318,0.0008318,0.0008318
179,10113.2,0.5655,0.35409,0.88967,1,0.82647,0.87075,0.66292,0.8809,1.34267,0.87339,0.0008252,0.0008252,0.0008252
180,10149.5,0.6016,0.35986,0.89714,0.85678,0.85497,0.85021,0.70574,0.81317,1.61644,0.87769,0.0008186,0.0008186,0.0008186
181,10185.5,0.6029,0.37009,0.89231,0.98617,0.71429,0.84321,0.6489,1.04298,1.85133,0.92228,0.000812,0.000812,0.000812
182,10220.7,0.56674,0.35154,0.87645,0.98894,0.71429,0.8359,0.6109,1.09025,2.07631,0.93935,0.0008054,0.0008054,0.0008054
183,10257,0.57995,0.37438,0.89186,0.99012,0.71429,0.8284,0.65673,0.82124,2.03542,0.86475,0.0007988,0.0007988,0.0007988
184,10292.8,0.55438,0.35571,0.89662,0.98935,0.71429,0.809,0.65195,0.91992,2.23378,0.89756,0.0007922,0.0007922,0.0007922
